epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65027,3.38122,5.48058,1.9404,0,0,0,0,2.95717,4.29291,1.62512,0.00013336,0.00013336,0.00013336
2,9.32737,2.8841,3.83582,1.4609,3e-05,0.00172,0,0,2.55666,3.88234,1.35835,0.000277779,0.000277779,0.000277779
3,11.8297,2.75303,3.06131,1.37601,0.00053,0.06127,3e-05,1e-05,2.44413,3.74708,1.31461,0.000416257,0.000416257,0.000416257
4,14.4194,2.66093,2.7347,1.38213,0.00115,0.05941,0.00015,4e-05,2.50389,3.45958,1.39636,0.000548793,0.000548793,0.000548793
5,16.9475,2.49963,2.66535,1.35571,0.00473,0.23793,0.05061,0.01041,2.51322,3.35711,1.40719,0.000675388,0.000675388,0.000675388
6,19.7995,2.54844,2.46409,1.34705,0.0056,0.3056,0.01462,0.00329,2.45287,3.51849,1.35331,0.000796043,0.000796043,0.000796043
7,22.1261,2.53904,2.32702,1.34674,0.00552,0.31658,0.01286,0.00298,2.64978,3.42883,1.40146,0.000910755,0.000910755,0.000910755
8,24.4183,2.50046,2.42644,1.35011,0.00786,0.56445,0.05229,0.01337,2.45516,3.15996,1.35095,0.00101953,0.00101953,0.00101953
9,26.7381,2.54607,2.17466,1.35877,0.6622,0.08017,0.12244,0.0316,2.49182,2.77556,1.39322,0.00112236,0.00112236,0.00112236
10,28.9691,2.42858,2.39951,1.27825,0.16583,0.41182,0.17106,0.04387,2.55011,2.74995,1.40852,0.00121925,0.00121925,0.00121925
11,31.1949,2.42556,2.28461,1.30426,0.14986,0.16479,0.14892,0.0471,2.4883,2.59301,1.38785,0.0013102,0.0013102,0.0013102
12,33.439,2.55044,2.09982,1.3191,0.60095,0.15351,0.16832,0.05238,2.47552,2.49886,1.40882,0.00130393,0.00130393,0.00130393
13,35.6239,2.41892,2.03772,1.25085,0.49814,0.2639,0.25121,0.07452,2.51021,2.32723,1.41479,0.00127092,0.00127092,0.00127092
14,37.7774,2.42669,2.09867,1.32112,0.51598,0.36569,0.33065,0.09307,2.54234,2.13133,1.44365,0.00123791,0.00123791,0.00123791
15,39.9517,2.45121,1.93412,1.30286,0.41393,0.37952,0.26183,0.0753,2.55554,2.10306,1.45396,0.00120491,0.00120491,0.00120491
16,42.1895,2.43706,2.05893,1.2465,0.42509,0.47318,0.33096,0.09975,2.54668,2.07216,1.47039,0.0011719,0.0011719,0.0011719
17,44.474,2.44395,2.02715,1.30379,0.4757,0.40836,0.35053,0.1061,2.48907,1.95372,1.39724,0.00113889,0.00113889,0.00113889
18,46.6345,2.39434,1.9002,1.29045,0.47558,0.43824,0.33969,0.10038,2.49998,1.98097,1.37972,0.00110589,0.00110589,0.00110589
19,48.8351,2.34914,1.81768,1.22103,0.44718,0.45379,0.32812,0.09557,2.51398,1.94278,1.3935,0.00107288,0.00107288,0.00107288
20,50.9963,2.38134,1.94887,1.24192,0.45979,0.45532,0.35699,0.11092,2.49487,2.01413,1.40393,0.00103987,0.00103987,0.00103987
21,53.1941,2.41706,1.86631,1.29327,0.46919,0.44259,0.35096,0.10679,2.53768,1.93037,1.43384,0.00100687,0.00100687,0.00100687
22,55.3973,2.34356,1.78904,1.30888,0.48289,0.39747,0.32588,0.09387,2.6415,1.92407,1.48895,0.000973861,0.000973861,0.000973861
23,57.5392,2.41503,1.7771,1.29792,0.43169,0.37677,0.28064,0.07865,2.67963,1.98215,1.46757,0.000940855,0.000940855,0.000940855
24,59.6809,2.40158,1.85606,1.27649,0.47784,0.39535,0.29371,0.09188,2.67829,1.92042,1.49183,0.000907848,0.000907848,0.000907848
25,61.8055,2.27729,1.71999,1.2615,0.46904,0.38767,0.30819,0.09612,2.73335,1.8767,1.5746,0.000874842,0.000874842,0.000874842
26,64.0222,2.3828,1.74279,1.28908,0.40162,0.36899,0.26742,0.07601,2.71938,1.91013,1.55499,0.000841835,0.000841835,0.000841835
27,66.4239,2.2939,1.80861,1.22199,0.37021,0.38539,0.26946,0.0748,2.65216,1.95859,1.48376,0.000808828,0.000808828,0.000808828
28,68.6777,2.24907,1.69974,1.28056,0.42131,0.50141,0.37804,0.11939,2.49231,1.73247,1.42409,0.000775822,0.000775822,0.000775822
29,70.9056,2.25676,1.66386,1.24368,0.34983,0.44448,0.31778,0.0931,2.63036,1.77735,1.52038,0.000742815,0.000742815,0.000742815
30,73.079,2.31595,1.77524,1.27495,0.36938,0.39822,0.27805,0.08241,2.68007,1.80361,1.52691,0.000709809,0.000709809,0.000709809
31,75.215,2.32718,1.67673,1.24261,0.46287,0.44518,0.35228,0.10792,2.53307,1.73552,1.43391,0.000676802,0.000676802,0.000676802
32,77.3909,2.29827,1.66305,1.22563,0.44479,0.43822,0.33084,0.10478,2.60461,1.78927,1.45597,0.000643795,0.000643795,0.000643795
33,80.0653,2.23944,1.63924,1.20715,0.47932,0.51849,0.3989,0.1197,2.53538,1.70684,1.44704,0.000610789,0.000610789,0.000610789
34,82.7773,2.23939,1.62835,1.23112,0.49447,0.51236,0.41165,0.12425,2.51339,1.67588,1.43288,0.000577782,0.000577782,0.000577782
35,85.7084,2.24242,1.60512,1.19808,0.4917,0.50009,0.40362,0.1198,2.52768,1.69616,1.43153,0.000544776,0.000544776,0.000544776
36,88.6642,2.25732,1.5612,1.19821,0.49162,0.52096,0.40326,0.11857,2.56973,1.72906,1.44496,0.000511769,0.000511769,0.000511769
37,91.4592,2.20619,1.65401,1.20216,0.46273,0.50512,0.39262,0.11236,2.61093,1.70708,1.4465,0.000478762,0.000478762,0.000478762
38,94.1767,2.13679,1.5868,1.21063,0.46622,0.52621,0.41564,0.12033,2.54976,1.66659,1.41672,0.000445756,0.000445756,0.000445756
39,96.9936,2.20595,1.49815,1.21983,0.48455,0.51523,0.41393,0.12278,2.56679,1.65204,1.43465,0.000412749,0.000412749,0.000412749
40,99.8141,2.18989,1.50649,1.18094,0.44858,0.49689,0.35982,0.10416,2.73027,1.71978,1.52831,0.000379743,0.000379743,0.000379743
41,117.476,2.19567,1.61619,1.26228,0.46986,0.53463,0.40514,0.12242,2.59938,1.65515,1.47524,0.000346736,0.000346736,0.000346736
42,119.791,2.16442,1.57712,1.27076,0.50634,0.52234,0.43743,0.12928,2.54233,1.60746,1.43848,0.000313729,0.000313729,0.000313729
43,122.018,2.1286,1.54187,1.24222,0.49539,0.50228,0.40323,0.12349,2.56722,1.61453,1.44766,0.000280723,0.000280723,0.000280723
44,124.18,2.14738,1.5675,1.27112,0.49063,0.51313,0.39542,0.1181,2.59701,1.62966,1.46496,0.000247716,0.000247716,0.000247716
45,126.311,2.11392,1.5553,1.27549,0.52844,0.53252,0.43599,0.13264,2.54196,1.61723,1.44271,0.00021471,0.00021471,0.00021471
46,128.479,2.06328,1.45227,1.21862,0.5178,0.53182,0.4325,0.13175,2.54555,1.62584,1.44389,0.000181703,0.000181703,0.000181703
47,130.595,2.04847,1.45871,1.20677,0.50468,0.52321,0.40765,0.12735,2.56697,1.63262,1.44894,0.000148696,0.000148696,0.000148696
48,132.744,2.05784,1.47492,1.23709,0.49851,0.51802,0.41626,0.1272,2.56668,1.62757,1.43748,0.00011569,0.00011569,0.00011569
49,135.185,2.04425,1.44754,1.21752,0.48812,0.53574,0.42326,0.12981,2.54083,1.61871,1.42502,8.26832e-05,8.26832e-05,8.26832e-05
50,137.329,2.01606,1.40325,1.21689,0.48733,0.54913,0.42311,0.12943,2.53133,1.61892,1.42344,4.96766e-05,4.96766e-05,4.96766e-05
