epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.14,1.11522,0.60049,1.0374,0.8298,0.77185,0.82575,0.42506,1.73399,0.82678,1.43828,0.000821206,0.000821206,0.000821206
43,334.848,1.1145,0.61624,1.03166,0.85274,0.79244,0.86428,0.40747,1.71961,0.84667,1.45175,0.000800577,0.000800577,0.000800577
44,342.447,1.09304,0.60045,1.02,0.88254,0.77902,0.8329,0.40546,1.74037,0.85281,1.45112,0.000779948,0.000779948,0.000779948
45,350.043,1.07476,0.59204,1.00649,0.79256,0.81315,0.85196,0.43097,1.65622,0.83489,1.39993,0.000759318,0.000759318,0.000759318
46,357.733,1.06912,0.58221,1.01531,0.85553,0.77409,0.8357,0.42401,1.78193,0.83946,1.42949,0.000738689,0.000738689,0.000738689
47,365.365,1.09414,0.59932,1.00098,0.82418,0.79933,0.83184,0.40419,1.72764,0.85181,1.42516,0.00071806,0.00071806,0.00071806
48,372.965,1.06977,0.58841,1.0057,0.83545,0.78632,0.82797,0.39707,1.69949,0.87496,1.42187,0.000697431,0.000697431,0.000697431
49,380.624,1.03749,0.56688,1.00377,0.82378,0.79575,0.83404,0.40554,1.7495,0.88681,1.45571,0.000676802,0.000676802,0.000676802
50,388.266,0.99215,0.55673,0.99087,0.83359,0.81752,0.84705,0.43304,1.67277,0.81174,1.39743,0.000656173,0.000656173,0.000656173
51,396.014,1.03547,0.56001,0.99072,0.77642,0.83371,0.84038,0.43178,1.73103,0.81839,1.45516,0.000635544,0.000635544,0.000635544
52,403.654,1.02055,0.55723,0.97778,0.80416,0.85479,0.8353,0.4125,1.74093,0.8222,1.46166,0.000614915,0.000614915,0.000614915
53,411.37,0.96729,0.53861,0.96374,0.81978,0.81026,0.84416,0.431,1.68909,0.79077,1.45997,0.000594286,0.000594286,0.000594286
54,419.072,0.9693,0.53576,0.96534,0.86944,0.76933,0.84533,0.41567,1.71361,0.81266,1.47183,0.000573656,0.000573656,0.000573656
55,426.704,0.93595,0.52985,0.96022,0.83648,0.80294,0.82818,0.419,1.67763,0.8896,1.4414,0.000553027,0.000553027,0.000553027
56,434.404,0.94617,0.53558,0.95061,0.85154,0.81379,0.85528,0.42801,1.68958,0.78443,1.4482,0.000532398,0.000532398,0.000532398
57,442.018,0.92957,0.52852,0.96601,0.8375,0.80133,0.85079,0.4202,1.70375,0.85498,1.47057,0.000511769,0.000511769,0.000511769
58,449.646,0.92166,0.51214,0.95041,0.843,0.82544,0.85625,0.41778,1.67971,0.84809,1.46671,0.00049114,0.00049114,0.00049114
59,457.251,0.89848,0.51034,0.94561,0.78233,0.85731,0.84691,0.42241,1.72066,0.81876,1.4779,0.000470511,0.000470511,0.000470511
60,464.856,0.91238,0.51511,0.95596,0.80205,0.84878,0.86399,0.42898,1.6822,0.76739,1.44732,0.000449882,0.000449882,0.000449882
61,472.499,0.90394,0.50182,0.92731,0.79377,0.85323,0.85241,0.41824,1.65201,0.78604,1.46199,0.000429253,0.000429253,0.000429253
62,480.116,0.8894,0.49671,0.94126,0.81827,0.82858,0.8636,0.42351,1.67333,0.78408,1.45749,0.000408623,0.000408623,0.000408623
63,487.708,0.86496,0.49124,0.9374,0.81393,0.83847,0.83559,0.43075,1.69007,0.78622,1.46274,0.000387994,0.000387994,0.000387994
64,495.325,0.8624,0.48728,0.92664,0.82439,0.81043,0.8332,0.41028,1.71222,0.78239,1.47836,0.000367365,0.000367365,0.000367365
65,502.881,0.82788,0.46571,0.91295,0.82724,0.85015,0.85993,0.41438,1.69512,0.79625,1.50662,0.000346736,0.000346736,0.000346736
66,510.455,0.84394,0.47557,0.91792,0.83887,0.84344,0.84842,0.43061,1.70068,0.79692,1.50208,0.000326107,0.000326107,0.000326107
67,518.028,0.8671,0.48507,0.91757,0.85878,0.82858,0.83941,0.4168,1.69522,0.82706,1.49597,0.000305478,0.000305478,0.000305478
68,525.584,0.8209,0.46544,0.91259,0.87023,0.78725,0.85821,0.42424,1.72793,0.84757,1.51413,0.000284849,0.000284849,0.000284849
69,533.13,0.84064,0.46607,0.90717,0.81546,0.83376,0.84837,0.4261,1.71014,0.80496,1.5184,0.00026422,0.00026422,0.00026422
70,540.694,0.80316,0.45099,0.90863,0.88694,0.82209,0.86147,0.4325,1.65769,0.78259,1.48076,0.00024359,0.00024359,0.00024359
71,566.268,0.74563,0.41035,0.9183,0.82894,0.8304,0.84926,0.41287,1.74907,0.77788,1.5492,0.000222961,0.000222961,0.000222961
72,573.98,0.72722,0.4096,0.90393,0.85731,0.81449,0.85968,0.41936,1.72723,0.7956,1.52892,0.000202332,0.000202332,0.000202332
73,581.608,0.733,0.41185,0.92057,0.8695,0.81184,0.83815,0.4079,1.75477,0.86057,1.53867,0.000181703,0.000181703,0.000181703
74,589.277,0.7279,0.41124,0.90788,0.86476,0.80971,0.84446,0.41876,1.7133,0.81575,1.51615,0.000161074,0.000161074,0.000161074
75,596.94,0.72229,0.40066,0.89551,0.86174,0.81449,0.84358,0.4159,1.71203,0.79773,1.52106,0.000140445,0.000140445,0.000140445
76,604.683,0.67276,0.38618,0.8872,0.86514,0.82858,0.86699,0.42776,1.69633,0.77704,1.52708,0.000119816,0.000119816,0.000119816
77,612.278,0.70115,0.39487,0.90126,0.86232,0.82858,0.85861,0.42497,1.70393,0.79377,1.53311,9.91865e-05,9.91865e-05,9.91865e-05
78,619.863,0.67864,0.38187,0.88508,0.84872,0.82098,0.84293,0.41878,1.71619,0.79332,1.53641,7.85574e-05,7.85574e-05,7.85574e-05
79,627.509,0.67255,0.38242,0.89647,0.83745,0.82612,0.84393,0.42082,1.71186,0.78518,1.5279,5.79283e-05,5.79283e-05,5.79283e-05
80,635.115,0.65655,0.37328,0.88236,0.82575,0.82153,0.83147,0.4244,1.6927,0.79251,1.5253,3.72991e-05,3.72991e-05,3.72991e-05
