epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5895,3.66461,7.46681,1.98972,0,0,0,0,3.32458,6.25193,1.9764,2.856e-05,2.856e-05,2.856e-05
2,199.175,3.40589,6.81019,1.82846,0,0,0,0,3.15596,6.01794,1.80146,6.21394e-05,6.21394e-05,6.21394e-05
3,301.055,3.1034,6.1852,1.57983,0,0,0,0,2.86778,5.65579,1.50963,9.33626e-05,9.33626e-05,9.33626e-05
4,401.677,2.85076,5.09001,1.44916,0,0,0,0,2.63857,5.32288,1.38211,0.00012223,0.00012223,0.00012223
