epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7244,2.33455,5.09059,1.62178,0.28755,0.14257,0.21225,0.10131,1.81924,3.02797,1.41435,0.00035007,0.00035007,0.00035007
2,22.8765,1.94907,1.72308,1.4054,0.38843,0.61305,0.46554,0.19,1.79781,2.51064,1.39484,0.000699069,0.000699069,0.000699069
3,30.7112,1.92566,1.41728,1.38031,0.69575,0.63084,0.70785,0.31812,1.90707,1.43668,1.44873,0.00102991,0.00102991,0.00102991
4,38.5148,1.88133,1.40488,1.35069,0.52779,0.62673,0.58668,0.23697,2.05656,1.52734,1.56967,0.00134261,0.00134261,0.00134261
5,46.2364,1.85061,1.3349,1.34633,0.49708,0.63588,0.55237,0.22328,1.85425,1.3196,1.52943,0.00150197,0.00150197,0.00150197
6,53.8236,1.83767,1.23764,1.33967,0.75273,0.57728,0.67538,0.31122,1.73458,1.28207,1.3949,0.00146071,0.00146071,0.00146071
7,61.4342,1.78352,1.16324,1.35525,0.66926,0.75416,0.7584,0.32882,1.82157,1.21017,1.41824,0.00141945,0.00141945,0.00141945
8,69.0985,1.76316,1.12403,1.32688,0.56964,0.70367,0.65505,0.26023,1.9016,1.39057,1.50859,0.00137819,0.00137819,0.00137819
9,76.6798,1.73971,1.04758,1.30025,0.66191,0.82564,0.77688,0.37661,1.75913,1.17121,1.42141,0.00133693,0.00133693,0.00133693
10,84.3357,1.64755,1.0336,1.30698,0.78936,0.78894,0.84452,0.38917,1.77483,0.92197,1.41269,0.00129568,0.00129568,0.00129568
11,91.979,1.66344,1.02384,1.25977,0.74513,0.77357,0.79678,0.38387,1.76684,0.96499,1.40203,0.00125442,0.00125442,0.00125442
12,99.5854,1.66149,1.00775,1.28197,0.71792,0.76164,0.83162,0.37829,1.72469,0.94252,1.3897,0.00121316,0.00121316,0.00121316
13,107.205,1.5969,0.99219,1.25303,0.71493,0.84081,0.81925,0.40854,1.85049,1.00535,1.41337,0.0011719,0.0011719,0.0011719
14,114.841,1.61482,0.96698,1.24272,0.68159,0.76427,0.79717,0.36346,1.85318,1.00739,1.42736,0.00113064,0.00113064,0.00113064
15,122.432,1.54775,0.89535,1.23729,0.80919,0.77928,0.83764,0.39205,1.77289,0.95919,1.37481,0.00108938,0.00108938,0.00108938
16,130.041,1.55124,0.91172,1.22471,0.76351,0.77137,0.80702,0.38282,1.64601,0.95104,1.35485,0.00104813,0.00104813,0.00104813
17,137.623,1.52323,0.88148,1.2334,0.80469,0.75908,0.81581,0.39157,1.78496,0.98053,1.38233,0.00100687,0.00100687,0.00100687
18,145.204,1.45126,0.84517,1.19061,0.8117,0.80079,0.82847,0.41049,1.86608,0.88635,1.42052,0.00096561,0.00096561,0.00096561
19,152.917,1.4627,0.81165,1.19599,0.8347,0.82696,0.87014,0.40111,1.78662,0.90485,1.40599,0.000924352,0.000924352,0.000924352
20,160.521,1.47993,0.81984,1.18876,0.85443,0.73164,0.83241,0.3901,1.84076,0.91371,1.39085,0.000883093,0.000883093,0.000883093
21,168.101,1.39064,0.77129,1.16166,0.85174,0.82765,0.84257,0.3973,1.8714,0.92371,1.42949,0.000841835,0.000841835,0.000841835
22,175.668,1.38785,0.76196,1.14884,0.8215,0.82061,0.865,0.40738,1.74701,0.90797,1.38294,0.000800577,0.000800577,0.000800577
23,183.25,1.37589,0.77667,1.15417,0.75019,0.80393,0.83633,0.38489,1.82923,0.92313,1.43346,0.000759318,0.000759318,0.000759318
24,190.856,1.34562,0.73377,1.12385,0.80493,0.78188,0.81557,0.38839,1.76969,0.87752,1.4109,0.00071806,0.00071806,0.00071806
25,198.464,1.29819,0.71252,1.10021,0.77112,0.82754,0.83373,0.40766,1.74063,0.84172,1.40171,0.000676802,0.000676802,0.000676802
26,206.054,1.26993,0.67782,1.10338,0.81769,0.78725,0.81861,0.40678,1.72237,0.84952,1.38429,0.000635544,0.000635544,0.000635544
27,213.634,1.23195,0.6655,1.07471,0.83974,0.81128,0.85176,0.4126,1.76538,0.83259,1.41527,0.000594286,0.000594286,0.000594286
28,221.296,1.24491,0.68588,1.09634,0.81277,0.75297,0.83264,0.39867,1.7695,0.90144,1.4238,0.000553027,0.000553027,0.000553027
29,228.889,1.24589,0.66992,1.08966,0.84933,0.73713,0.84194,0.38601,1.74271,0.86007,1.44603,0.000511769,0.000511769,0.000511769
30,236.464,1.19482,0.65544,1.07791,0.83886,0.76705,0.82909,0.38716,1.77117,0.86427,1.41186,0.000470511,0.000470511,0.000470511
31,263.162,1.16865,0.61246,1.10806,0.78265,0.81449,0.85418,0.40517,1.71201,0.86148,1.40285,0.000429253,0.000429253,0.000429253
32,270.901,1.11674,0.58609,1.07888,0.8366,0.78725,0.8317,0.41158,1.67372,0.83785,1.38625,0.000387994,0.000387994,0.000387994
33,278.524,1.11696,0.58214,1.08679,0.83142,0.77583,0.82365,0.39207,1.71754,0.84156,1.41513,0.000346736,0.000346736,0.000346736
34,286.16,1.09181,0.56776,1.07781,0.8675,0.7539,0.82939,0.39335,1.7252,0.80722,1.44826,0.000305478,0.000305478,0.000305478
35,293.815,1.05202,0.556,1.03364,0.87785,0.70763,0.83951,0.39772,1.71668,0.83622,1.43807,0.00026422,0.00026422,0.00026422
36,301.46,1.01437,0.5394,1.04242,0.7838,0.82158,0.84919,0.40206,1.76107,0.83477,1.43437,0.000222961,0.000222961,0.000222961
37,309.101,1.01167,0.53339,1.02886,0.77501,0.85475,0.86032,0.41828,1.6999,0.8186,1.44585,0.000181703,0.000181703,0.000181703
38,316.733,0.98118,0.51877,1.01165,0.8327,0.77766,0.85717,0.41735,1.69743,0.78834,1.45017,0.000140445,0.000140445,0.000140445
39,324.355,0.94276,0.50568,0.98898,0.80808,0.80079,0.85539,0.42015,1.70828,0.81115,1.44345,9.91865e-05,9.91865e-05,9.91865e-05
40,332.04,0.9484,0.50431,0.99245,0.7729,0.86286,0.8521,0.41601,1.6979,0.80012,1.45284,5.79283e-05,5.79283e-05,5.79283e-05
