epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97593,3.67022,6.33556,2.06274,0,0,0,0,3.39111,4.58119,2.0466,6.668e-05,6.668e-05,6.668e-05
2,7.17878,3.43021,6.16011,1.90935,0,0,0,0,2.96724,4.34983,1.66604,0.000142604,0.000142604,0.000142604
3,10.01,2.94137,4.94564,1.49058,0.00026,0.01379,2e-05,0,2.62937,4.01409,1.36264,0.000210275,0.000210275,0.000210275
4,12.872,2.73949,3.95717,1.36526,0.00025,0.02557,1e-05,0,2.58135,3.80157,1.38035,0.000269696,0.000269696,0.000269696
5,15.7146,2.66632,3.3689,1.42391,0,0,0,0,2.47758,3.71107,1.33705,0.000320864,0.000320864,0.000320864
6,18.4537,2.59897,3.17436,1.31635,0,0,0,0,2.47795,3.78922,1.36957,0.000363781,0.000363781,0.000363781
7,21.2398,2.50544,2.98499,1.32282,0,0,0,0,2.50482,3.647,1.36847,0.000398446,0.000398446,0.000398446
8,24.2411,2.57113,2.94582,1.32202,0.0005,0.025,2e-05,0,2.68444,3.65962,1.48825,0.00042486,0.00042486,0.00042486
