epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.391,3.62006,6.54921,1.9673,0,0,0,0,3.25004,5.36832,1.90903,6.668e-05,6.668e-05,6.668e-05
2,220.032,3.22635,5.60399,1.68815,0.00013,0.01278,6e-05,1e-05,3.04283,4.98539,1.58001,0.000142604,0.000142604,0.000142604
3,324.455,2.8064,4.51684,1.39514,0.00146,0.12634,0.00082,0.00026,2.61675,4.53665,1.39505,0.000210275,0.000210275,0.000210275
4,430.488,2.70334,3.55807,1.42931,0.00502,0.45459,0.00367,0.00112,2.54615,4.31945,1.37018,0.000269696,0.000269696,0.000269696
5,540.355,2.64934,3.6296,1.37926,0.00651,0.49483,0.00508,0.00143,2.5475,4.51629,1.3856,0.000320864,0.000320864,0.000320864
6,649.087,2.57849,3.19381,1.34516,0.00678,0.48011,0.00546,0.00164,2.50928,4.35906,1.36738,0.000363781,0.000363781,0.000363781
7,754.671,2.59914,2.91099,1.31488,0.00364,0.24573,0.00237,0.0007,2.4906,5.13662,1.39492,0.000398446,0.000398446,0.000398446
8,855.823,2.53108,2.96705,1.33676,0,0,0,0,2.5675,4.49846,1.39778,0.00042486,0.00042486,0.00042486
9,965.032,2.49222,2.82872,1.30962,0.00185,0.08879,0.01297,0.00285,2.43432,4.16574,1.33456,0.000443022,0.000443022,0.000443022
10,1085.42,2.54044,2.87879,1.32146,0.00037,0.03239,0.00019,6e-05,2.43733,4.81753,1.34123,0.000452932,0.000452932,0.000452932
11,1196.22,2.47722,2.92885,1.43296,0.00014,0.01954,7e-05,3e-05,2.6018,11.676,1.40906,0.000454591,0.000454591,0.000454591
