epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,438.675,1.90804,1.14884,1.1791,0.60224,0.56534,0.54656,0.18507,2.3444,1.4255,1.40082,0.000990365,0.000990365,0.000990365
43,449.935,1.90272,1.1272,1.18872,0.59548,0.53978,0.5304,0.18542,2.29056,1.44691,1.38936,0.000973861,0.000973861,0.000973861
44,461.233,1.84832,1.0959,1.16444,0.58875,0.54562,0.52385,0.17672,2.39019,1.38742,1.42723,0.000957358,0.000957358,0.000957358
45,472.574,1.87736,1.10463,1.16703,0.56545,0.54146,0.52696,0.18499,2.34694,1.42625,1.4048,0.000940855,0.000940855,0.000940855
46,483.993,1.86789,1.13685,1.18375,0.59655,0.56461,0.53208,0.17567,2.39506,1.39339,1.43947,0.000924352,0.000924352,0.000924352
47,495.042,1.787,1.07128,1.13851,0.58381,0.55942,0.5197,0.17493,2.34778,1.41065,1.42642,0.000907848,0.000907848,0.000907848
48,505.321,1.78974,1.07792,1.12773,0.64629,0.5586,0.52839,0.17768,2.33674,1.40535,1.42422,0.000891345,0.000891345,0.000891345
49,514.889,1.77574,1.0589,1.12075,0.61859,0.5526,0.53406,0.18045,2.35544,1.37802,1.43279,0.000874842,0.000874842,0.000874842
50,524.553,1.79334,1.05295,1.15337,0.58458,0.57191,0.52232,0.17941,2.33457,1.39958,1.4137,0.000858338,0.000858338,0.000858338
51,534.305,1.77926,1.04317,1.13259,0.65399,0.52344,0.51164,0.17505,2.33784,1.40838,1.41152,0.000841835,0.000841835,0.000841835
52,544.009,1.74556,1.01934,1.13454,0.65116,0.56664,0.53692,0.17791,2.35785,1.35868,1.43111,0.000825332,0.000825332,0.000825332
53,553.655,1.82486,1.0512,1.13892,0.64916,0.59294,0.55459,0.19015,2.3221,1.39408,1.40087,0.000808828,0.000808828,0.000808828
54,563.323,1.77325,1.03991,1.14411,0.6175,0.58535,0.53464,0.19118,2.33888,1.33662,1.42518,0.000792325,0.000792325,0.000792325
55,572.998,1.75157,1.0404,1.15321,0.61624,0.53961,0.50478,0.17331,2.31994,1.36913,1.40995,0.000775822,0.000775822,0.000775822
56,582.629,1.73751,0.97576,1.11186,0.58208,0.56485,0.50686,0.17503,2.35703,1.34962,1.43178,0.000759318,0.000759318,0.000759318
57,592.27,1.7792,1.04608,1.13104,0.64924,0.57216,0.51955,0.18555,2.30597,1.40409,1.39713,0.000742815,0.000742815,0.000742815
58,601.922,1.7638,1.02114,1.13248,0.58836,0.58912,0.53338,0.17393,2.32713,1.34128,1.41224,0.000726312,0.000726312,0.000726312
59,611.59,1.7051,0.98568,1.10915,0.62716,0.56834,0.54978,0.18668,2.3584,1.37117,1.4389,0.000709809,0.000709809,0.000709809
60,621.282,1.72387,0.9967,1.1195,0.59003,0.54246,0.51961,0.17612,2.38839,1.36017,1.47329,0.000693305,0.000693305,0.000693305
61,630.889,1.67698,0.98769,1.09517,0.56312,0.56461,0.52724,0.18149,2.33537,1.35339,1.42878,0.000676802,0.000676802,0.000676802
62,640.524,1.68937,0.96501,1.09903,0.58441,0.58232,0.50791,0.17064,2.40131,1.36538,1.46525,0.000660299,0.000660299,0.000660299
63,650.185,1.69461,0.9589,1.11821,0.59065,0.55349,0.50462,0.16256,2.41673,1.36274,1.46147,0.000643795,0.000643795,0.000643795
64,659.848,1.71114,0.98405,1.09654,0.61286,0.53571,0.48864,0.16683,2.39646,1.38845,1.47223,0.000627292,0.000627292,0.000627292
65,669.512,1.64399,0.94164,1.09693,0.62657,0.55657,0.50514,0.16877,2.40216,1.36238,1.46842,0.000610789,0.000610789,0.000610789
66,679.143,1.66372,0.9371,1.09259,0.58322,0.53795,0.5086,0.17212,2.40029,1.33858,1.4719,0.000594286,0.000594286,0.000594286
67,688.809,1.6953,0.97011,1.10086,0.61765,0.58384,0.54771,0.18292,2.40419,1.34501,1.47304,0.000577782,0.000577782,0.000577782
68,698.46,1.6353,0.92446,1.09176,0.68899,0.60211,0.57177,0.19132,2.39006,1.32081,1.46211,0.000561279,0.000561279,0.000561279
69,708.088,1.64911,0.94921,1.09539,0.70834,0.56765,0.54561,0.18451,2.38113,1.34532,1.4642,0.000544776,0.000544776,0.000544776
70,717.736,1.63164,0.92741,1.06746,0.64007,0.59761,0.54371,0.18544,2.35934,1.3375,1.45229,0.000528272,0.000528272,0.000528272
71,727.387,1.57579,0.90462,1.06452,0.60257,0.57687,0.54311,0.1831,2.4025,1.31414,1.48151,0.000511769,0.000511769,0.000511769
72,737.126,1.57874,0.89714,1.07017,0.69305,0.56262,0.56401,0.17757,2.4579,1.31379,1.52958,0.000495266,0.000495266,0.000495266
73,746.828,1.56792,0.88903,1.07014,0.60483,0.56883,0.53077,0.17008,2.46213,1.33082,1.52104,0.000478762,0.000478762,0.000478762
74,756.559,1.60472,0.88551,1.07188,0.66115,0.58244,0.53858,0.17169,2.44947,1.33095,1.50652,0.000462259,0.000462259,0.000462259
75,766.223,1.52152,0.85596,1.04237,0.64637,0.5682,0.52478,0.17869,2.43926,1.35783,1.50815,0.000445756,0.000445756,0.000445756
76,775.895,1.56381,0.8783,1.05902,0.62092,0.55907,0.53707,0.18326,2.43217,1.31946,1.51092,0.000429253,0.000429253,0.000429253
77,785.592,1.5885,0.89086,1.06225,0.58717,0.57062,0.50653,0.1754,2.44428,1.30157,1.51695,0.000412749,0.000412749,0.000412749
78,795.253,1.54549,0.88515,1.06917,0.59455,0.58961,0.50916,0.17823,2.46338,1.31013,1.53853,0.000396246,0.000396246,0.000396246
79,804.883,1.58016,0.87037,1.04283,0.62217,0.59659,0.526,0.18043,2.40841,1.35508,1.48687,0.000379743,0.000379743,0.000379743
