epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6505,3.26975,5.13639,1.81884,0,0,0,0,2.60942,3.84735,1.42814,0.0019,0.0019,0.0829
2,17.0103,2.7409,2.92182,1.4559,0.0018,0.0931,0.00022,5e-05,2.37737,3.52817,1.36575,0.00382278,0.00382278,0.0648228
3,21.2036,2.60765,2.60998,1.40873,0.01169,0.62383,0.14603,0.03512,2.47443,3.12566,1.44398,0.00566636,0.00566636,0.0466664
4,25.2613,2.63566,2.4624,1.43155,0.01252,0.77138,0.16033,0.04899,2.48252,2.85498,1.43312,0.00743074,0.00743074,0.0284307
5,29.3426,2.63918,2.33469,1.39185,0.14619,0.44334,0.14965,0.04233,2.49765,2.66012,1.40184,0.00911592,0.00911592,0.0101159
6,33.6349,2.54131,2.30424,1.34357,0.28557,0.33658,0.22257,0.06254,2.46273,2.12162,1.39076,0.00901,0.00901,0.00901
7,37.6722,2.53938,2.32951,1.33175,0.44597,0.33555,0.3114,0.0877,2.55874,2.04251,1.47696,0.008812,0.008812,0.008812
8,41.7899,2.53995,2.08079,1.3592,0.40964,0.33327,0.24664,0.0719,2.55872,2.08179,1.44403,0.008614,0.008614,0.008614
9,45.7785,2.50708,2.0284,1.31894,0.20847,0.40809,0.2244,0.0613,2.54632,2.01179,1.44998,0.008416,0.008416,0.008416
10,49.7808,2.50839,2.02911,1.34729,0.38416,0.42884,0.32895,0.09419,2.42056,1.88314,1.37822,0.008218,0.008218,0.008218
11,53.7975,2.52511,1.93816,1.32735,0.29336,0.43757,0.27218,0.07318,2.48306,1.9151,1.41387,0.00802,0.00802,0.00802
12,57.936,2.47575,1.97494,1.32332,0.34235,0.4099,0.28053,0.08149,2.39106,2.15544,1.3735,0.007822,0.007822,0.007822
13,61.9567,2.43787,1.87638,1.28082,0.26706,0.41313,0.24204,0.07534,2.42705,1.87918,1.38631,0.007624,0.007624,0.007624
14,65.9733,2.42004,1.88048,1.28089,0.33846,0.36354,0.26596,0.08628,2.4888,1.87214,1.41001,0.007426,0.007426,0.007426
15,69.9614,2.43649,1.80146,1.29831,0.35853,0.41381,0.3234,0.09402,2.45248,1.74987,1.36276,0.007228,0.007228,0.007228
16,74.0869,2.41567,1.80425,1.30338,0.42627,0.44116,0.35099,0.10693,2.44042,1.76226,1.36139,0.00703,0.00703,0.00703
17,78.1413,2.35958,1.74256,1.28582,0.43704,0.45665,0.35602,0.10727,2.42052,1.90115,1.3611,0.006832,0.006832,0.006832
18,82.143,2.38847,1.73196,1.29259,0.47369,0.43655,0.36895,0.11171,2.37752,1.71816,1.33166,0.006634,0.006634,0.006634
19,86.5616,2.37371,1.64924,1.2724,0.40079,0.39483,0.32238,0.09666,2.47484,1.79542,1.402,0.006436,0.006436,0.006436
20,90.7958,2.3812,1.6943,1.28798,0.35785,0.33286,0.27086,0.0782,2.5586,1.90104,1.40516,0.006238,0.006238,0.006238
21,94.8763,2.35369,1.66018,1.24628,0.50372,0.45184,0.3976,0.11596,2.42463,1.68738,1.36716,0.00604,0.00604,0.00604
22,98.9636,2.31174,1.62396,1.2725,0.49608,0.53546,0.42519,0.12189,2.40155,1.6886,1.35948,0.005842,0.005842,0.005842
23,102.934,2.30383,1.61776,1.25961,0.40239,0.48071,0.37938,0.11769,2.49566,1.71309,1.40176,0.005644,0.005644,0.005644
24,106.893,2.38697,1.67526,1.27406,0.52752,0.45003,0.4063,0.12199,2.42763,1.69505,1.37417,0.005446,0.005446,0.005446
25,110.857,2.31739,1.62694,1.26282,0.45516,0.52083,0.44395,0.13602,2.4422,1.65603,1.3888,0.005248,0.005248,0.005248
26,114.822,2.32515,1.5712,1.25012,0.46731,0.51391,0.40906,0.11801,2.44372,1.66487,1.39143,0.00505,0.00505,0.00505
27,118.883,2.32839,1.57503,1.22615,0.5623,0.49599,0.46116,0.12955,2.45179,1.76279,1.3919,0.004852,0.004852,0.004852
28,122.867,2.25552,1.57906,1.24465,0.56967,0.53543,0.48895,0.13285,2.42727,1.65143,1.36794,0.004654,0.004654,0.004654
29,126.797,2.26222,1.50469,1.24093,0.47207,0.38351,0.33955,0.0955,2.56161,1.70759,1.42615,0.004456,0.004456,0.004456
