epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23881,3.16023,4.64635,1.72796,0.00078,0.06413,6e-05,1e-05,2.53887,3.81629,1.39116,0.00031673,0.00031673,0.00031673
2,12.3781,2.76488,2.83721,1.42459,0.00389,0.19496,0.00574,0.00125,2.42805,3.40338,1.33358,0.000637257,0.000637257,0.000637257
3,15.3431,2.57425,2.73415,1.34194,0.00694,0.3271,0.05324,0.01226,2.47416,3.23267,1.39922,0.000944582,0.000944582,0.000944582
